Disease,Medicine,Usage,Symptoms,Precautions,SideEffects
Allergy,Pain Relief Gel,Take before meal,Sneezing and cough,Do not overdose,Nausea
Tooth Pain,Calcium Tablets,Take before sleep,Burning sensation,Do not overdose,Sleepiness
Ear Infection,Pantoprazole,Take before meal,Burning sensation,Drink warm water,Dry mouth
Cough,Ibuprofen,Take after meal,Burning sensation,Avoid spicy food,Dry mouth
Cough,Paracetamol,Take after meal,Burning sensation,Consult doctor if problem continues,Nausea
Eye Infection,Ibuprofen,Drink water with medicine,Sneezing and cough,Drink warm water,Nausea
Asthma,Metformin,Drink water with medicine,Head pain and stress,Drink warm water,Fatigue
Allergy,Crocin,Take after meal,Body pain and weakness,Take proper rest,Fatigue
Typhoid,Cetirizine,Take before sleep,High temperature,Consult doctor if problem continues,Dizziness
Headache,Cough Syrup,Take before sleep,High temperature,Take proper rest,Constipation
Fever,Antacid,Use twice daily,Stomach infection,Avoid cold drinks,Sleepiness
Eye Infection,Amlodipine,Take after meal,Head pain and stress,Consult doctor if problem continues,Nausea
Vomiting,Calcium Tablets,Drink water with medicine,High temperature,Drink warm water,Dizziness
Eye Infection,ORS,Use twice daily,Body pain and weakness,Take proper rest,Dry mouth
Weakness,Cetirizine,Drink water with medicine,High temperature,Consult doctor if problem continues,Dizziness
Tooth Pain,Antibiotic Cream,Take before meal,Body pain and weakness,Do not overdose,Fatigue
Weakness,Metformin,Take before sleep,Head pain and stress,Consult doctor if problem continues,Constipation
Eye Infection,Cetirizine,Use once daily,Breathing problem,Drink warm water,Dry mouth
Cough,Salbutamol Inhaler,Use twice daily,Vomiting and nausea,Drink warm water,Constipation
Asthma,Cetirizine,Take before sleep,Head pain and stress,Avoid spicy food,Dizziness
Cough,Insulin,Take before meal,Burning sensation,Take proper rest,Dizziness
Weakness,Antibiotic Cream,Use twice daily,Breathing problem,Do not overdose,Constipation
Typhoid,Amoxicillin,Take before sleep,Head pain and stress,Consult doctor if problem continues,Sleepiness
Migraine,Insulin,Use twice daily,High temperature,Take proper rest,Nausea
Fever,Insulin,Use once daily,Stomach infection,Avoid cold drinks,Dizziness
Stomach Pain,Amlodipine,Use once daily,Vomiting and nausea,Do not overdose,Dry mouth
Allergy,Omeprazole,Take before sleep,Head pain and stress,Take proper rest,Dry mouth
Stomach Pain,Amlodipine,Take before sleep,Sneezing and cough,Take proper rest,Constipation
Tooth Pain,Pantoprazole,Take after meal,Head pain and stress,Take proper rest,Dry mouth
Skin Infection,Cough Syrup,Take after meal,Breathing problem,Avoid spicy food,Constipation
Weakness,Pantoprazole,Take before sleep,High temperature,Avoid spicy food,Dry mouth
Fever,Crocin,Take after meal,Vomiting and nausea,Take proper rest,Fatigue
Stomach Pain,Calcium Tablets,Take before meal,Burning sensation,Consult doctor if problem continues,Constipation
Vomiting,Antacid,Take before meal,Breathing problem,Do not overdose,Dizziness
Cold,Amoxicillin,Drink water with medicine,Vomiting and nausea,Do not overdose,Dry mouth
Cough,Cetirizine,Take before meal,High temperature,Consult doctor if problem continues,Dizziness
Skin Infection,Amoxicillin,Take before meal,Vomiting and nausea,Take proper rest,Dizziness
Eye Infection,Dolo 650,Take before meal,Head pain and stress,Do not overdose,Constipation
Asthma,Cetirizine,Drink water with medicine,High temperature,Consult doctor if problem continues,Constipation
Ear Infection,Amoxicillin,Use twice daily,Head pain and stress,Drink warm water,Nausea
Allergy,Crocin,Use twice daily,Vomiting and nausea,Drink warm water,Dry mouth
Vomiting,Antacid,Use twice daily,Burning sensation,Consult doctor if problem continues,Dizziness
BP,Insulin,Use once daily,Stomach infection,Avoid spicy food,Fatigue
Allergy,Cetirizine,Take after meal,Stomach infection,Take proper rest,Fatigue
Migraine,Omeprazole,Take before meal,High temperature,Take proper rest,Constipation
Acidity,Ibuprofen,Drink water with medicine,Sneezing and cough,Drink warm water,Sleepiness
Diabetes,Cough Syrup,Use twice daily,Sneezing and cough,Take proper rest,Fatigue
Cough,Crocin,Drink water with medicine,Burning sensation,Take proper rest,Constipation
Diabetes,Paracetamol,Use once daily,Vomiting and nausea,Consult doctor if problem continues,Dry mouth
Vomiting,Calcium Tablets,Take before sleep,High temperature,Consult doctor if problem continues,Dizziness
Diarrhea,Ibuprofen,Take before sleep,Burning sensation,Drink warm water,Fatigue
Eye Infection,Paracetamol,Take before sleep,Head pain and stress,Avoid spicy food,Fatigue
Stomach Pain,Vitamin Tablets,Use twice daily,High temperature,Avoid spicy food,Dizziness
Weakness,Cough Syrup,Take before meal,High temperature,Do not overdose,Fatigue
Diabetes,Cetirizine,Take before meal,Breathing problem,Consult doctor if problem continues,Dry mouth
Migraine,Antacid,Take after meal,Head pain and stress,Do not overdose,Sleepiness
Allergy,Pain Relief Gel,Take after meal,Vomiting and nausea,Consult doctor if problem continues,Dizziness
Ear Infection,Paracetamol,Drink water with medicine,Stomach infection,Consult doctor if problem continues,Nausea
Migraine,Amoxicillin,Use twice daily,Body pain and weakness,Drink warm water,Dry mouth
Diarrhea,Calcium Tablets,Drink water with medicine,Sneezing and cough,Avoid cold drinks,Dry mouth
Migraine,Cough Syrup,Use twice daily,Vomiting and nausea,Consult doctor if problem continues,Sleepiness
Asthma,Cough Syrup,Take before sleep,Burning sensation,Drink warm water,Fatigue
Weakness,Insulin,Take before meal,Stomach infection,Avoid spicy food,Fatigue
Skin Infection,Pain Relief Gel,Drink water with medicine,Head pain and stress,Drink warm water,Dizziness
Allergy,Cetirizine,Use once daily,Head pain and stress,Take proper rest,Dry mouth
Skin Infection,Amlodipine,Take before meal,Stomach infection,Consult doctor if problem continues,Dizziness
Skin Infection,Calcium Tablets,Take before meal,Head pain and stress,Do not overdose,Nausea
BP,Omeprazole,Use twice daily,High temperature,Consult doctor if problem continues,Dry mouth
Headache,Amoxicillin,Take before sleep,Burning sensation,Do not overdose,Dry mouth
Typhoid,Calcium Tablets,Drink water with medicine,Vomiting and nausea,Avoid spicy food,Nausea
Tooth Pain,Paracetamol,Use twice daily,Head pain and stress,Take proper rest,Fatigue
Cold,Ibuprofen,Take before sleep,Sneezing and cough,Consult doctor if problem continues,Fatigue
Joint Pain,Vitamin Tablets,Take before sleep,High temperature,Do not overdose,Sleepiness
Migraine,Omeprazole,Drink water with medicine,Head pain and stress,Do not overdose,Sleepiness
Diarrhea,Pain Relief Gel,Take after meal,Stomach infection,Drink warm water,Fatigue
BP,Pantoprazole,Use twice daily,Burning sensation,Drink warm water,Fatigue
Allergy,Antacid,Take after meal,Burning sensation,Avoid cold drinks,Dry mouth
Weakness,Pantoprazole,Use once daily,Burning sensation,Take proper rest,Constipation
Headache,Amoxicillin,Use twice daily,High temperature,Avoid cold drinks,Nausea
Typhoid,Antacid,Take after meal,High temperature,Drink warm water,Sleepiness
Joint Pain,Insulin,Take before sleep,Body pain and weakness,Drink warm water,Constipation
Stomach Pain,Cough Syrup,Take before meal,Head pain and stress,Take proper rest,Fatigue
Tooth Pain,Salbutamol Inhaler,Use twice daily,High temperature,Avoid cold drinks,Dry mouth
BP,Vitamin Tablets,Drink water with medicine,Stomach infection,Avoid cold drinks,Dry mouth
Vomiting,Cetirizine,Use once daily,Head pain and stress,Take proper rest,Nausea
BP,ORS,Drink water with medicine,High temperature,Avoid cold drinks,Dizziness
Acidity,Salbutamol Inhaler,Take before sleep,Vomiting and nausea,Consult doctor if problem continues,Dry mouth
BP,Azithromycin,Use twice daily,Sneezing and cough,Avoid spicy food,Dry mouth
Eye Infection,Cetirizine,Take before meal,High temperature,Drink warm water,Sleepiness
Weakness,Metformin,Take before sleep,High temperature,Consult doctor if problem continues,Nausea
BP,Insulin,Take before sleep,Breathing problem,Drink warm water,Nausea
Weakness,ORS,Use once daily,Sneezing and cough,Take proper rest,Constipation
Ear Infection,Cough Syrup,Take before meal,Body pain and weakness,Consult doctor if problem continues,Dry mouth
Cold,Ibuprofen,Use twice daily,Body pain and weakness,Avoid spicy food,Dizziness
Vomiting,Amlodipine,Take before meal,High temperature,Avoid spicy food,Nausea
Headache,Antacid,Take before meal,Burning sensation,Consult doctor if problem continues,Constipation
Cold,Ibuprofen,Take before sleep,High temperature,Drink warm water,Sleepiness
Acidity,Pain Relief Gel,Take after meal,Body pain and weakness,Drink warm water,Fatigue
Diarrhea,Azithromycin,Take after meal,Breathing problem,Do not overdose,Constipation
Skin Infection,Amoxicillin,Use twice daily,Head pain and stress,Drink warm water,Nausea
Diarrhea,Ibuprofen,Use once daily,Stomach infection,Avoid cold drinks,Nausea
Headache,Vitamin Tablets,Drink water with medicine,Vomiting and nausea,Avoid spicy food,Dizziness
Fever,Pain Relief Gel,Take after meal,Sneezing and cough,Consult doctor if problem continues,Nausea
Tooth Pain,Antibiotic Cream,Use once daily,High temperature,Avoid cold drinks,Dizziness
Cough,Ibuprofen,Drink water with medicine,Stomach infection,Avoid spicy food,Nausea
Acidity,Omeprazole,Take after meal,Stomach infection,Drink warm water,Nausea
Joint Pain,ORS,Take before sleep,Body pain and weakness,Consult doctor if problem continues,Constipation
Diabetes,Ibuprofen,Take after meal,Head pain and stress,Avoid cold drinks,Sleepiness
Cough,Pain Relief Gel,Use twice daily,High temperature,Avoid cold drinks,Nausea
Weakness,Paracetamol,Use once daily,Breathing problem,Drink warm water,Sleepiness
Vomiting,Salbutamol Inhaler,Use twice daily,Head pain and stress,Avoid cold drinks,Sleepiness
Asthma,Vitamin Tablets,Use twice daily,Head pain and stress,Drink warm water,Dry mouth
Acidity,Crocin,Drink water with medicine,Vomiting and nausea,Do not overdose,Constipation
Diarrhea,ORS,Take before sleep,Body pain and weakness,Consult doctor if problem continues,Fatigue
Allergy,Cough Syrup,Take before sleep,Head pain and stress,Avoid cold drinks,Dizziness
Fever,Pain Relief Gel,Take before sleep,Vomiting and nausea,Drink warm water,Constipation
Skin Infection,Antacid,Take before sleep,Sneezing and cough,Take proper rest,Fatigue
BP,Amlodipine,Take before meal,Sneezing and cough,Consult doctor if problem continues,Sleepiness
Joint Pain,Azithromycin,Take before sleep,Body pain and weakness,Avoid cold drinks,Fatigue
BP,Ibuprofen,Use once daily,Burning sensation,Take proper rest,Constipation
Typhoid,Pain Relief Gel,Use once daily,Sneezing and cough,Take proper rest,Constipation
Skin Infection,Calcium Tablets,Use twice daily,High temperature,Avoid spicy food,Constipation
Allergy,Calcium Tablets,Take after meal,Body pain and weakness,Drink warm water,Dizziness
Skin Infection,Cetirizine,Take before sleep,Sneezing and cough,Take proper rest,Dizziness
Allergy,Vitamin Tablets,Use twice daily,High temperature,Drink warm water,Dry mouth
Eye Infection,Omeprazole,Take before sleep,Burning sensation,Take proper rest,Dizziness
Migraine,Metformin,Use twice daily,Vomiting and nausea,Consult doctor if problem continues,Nausea
Headache,Antacid,Use once daily,Sneezing and cough,Drink warm water,Dizziness
Typhoid,Salbutamol Inhaler,Take before sleep,Sneezing and cough,Take proper rest,Dry mouth
Vomiting,Pantoprazole,Take before meal,Breathing problem,Avoid cold drinks,Sleepiness
BP,Dolo 650,Use twice daily,Breathing problem,Avoid cold drinks,Constipation
Headache,Dolo 650,Use twice daily,High temperature,Drink warm water,Dry mouth
BP,Cough Syrup,Use twice daily,Body pain and weakness,Avoid spicy food,Fatigue
Joint Pain,Paracetamol,Use once daily,High temperature,Avoid spicy food,Dry mouth
Eye Infection,Ibuprofen,Take after meal,Vomiting and nausea,Do not overdose,Constipation
Stomach Pain,Metformin,Use once daily,Burning sensation,Drink warm water,Sleepiness
Acidity,Cetirizine,Take before meal,Breathing problem,Consult doctor if problem continues,Dry mouth
Fever,Calcium Tablets,Drink water with medicine,Head pain and stress,Avoid spicy food,Sleepiness
Headache,Paracetamol,Use twice daily,Burning sensation,Do not overdose,Fatigue
Fever,Amlodipine,Use once daily,High temperature,Do not overdose,Dry mouth
Joint Pain,Metformin,Take after meal,Sneezing and cough,Do not overdose,Fatigue
Fever,Paracetamol,Use twice daily,Vomiting and nausea,Take proper rest,Dizziness
Stomach Pain,ORS,Drink water with medicine,High temperature,Take proper rest,Dizziness
Cold,Paracetamol,Take after meal,Vomiting and nausea,Avoid spicy food,Fatigue
BP,Insulin,Take before sleep,Head pain and stress,Avoid cold drinks,Nausea
Cough,Amlodipine,Drink water with medicine,Body pain and weakness,Avoid spicy food,Nausea
Cold,Ibuprofen,Take after meal,Sneezing and cough,Take proper rest,Dizziness
Ear Infection,Amoxicillin,Take after meal,High temperature,Take proper rest,Constipation
Acidity,Dolo 650,Use twice daily,Stomach infection,Avoid cold drinks,Constipation
Allergy,Paracetamol,Take before meal,Head pain and stress,Consult doctor if problem continues,Dry mouth
Headache,Amoxicillin,Take before sleep,Sneezing and cough,Take proper rest,Sleepiness
Migraine,Amoxicillin,Use once daily,Vomiting and nausea,Consult doctor if problem continues,Dizziness
Vomiting,Paracetamol,Take before sleep,Vomiting and nausea,Take proper rest,Dizziness
Weakness,Salbutamol Inhaler,Drink water with medicine,Head pain and stress,Avoid cold drinks,Nausea
Ear Infection,Amlodipine,Take before sleep,High temperature,Drink warm water,Fatigue
Migraine,Metformin,Take before meal,Burning sensation,Consult doctor if problem continues,Dizziness
Weakness,Vitamin Tablets,Take before sleep,Burning sensation,Avoid spicy food,Dry mouth
Joint Pain,Calcium Tablets,Take after meal,High temperature,Drink warm water,Sleepiness
Stomach Pain,Insulin,Drink water with medicine,Sneezing and cough,Avoid cold drinks,Fatigue
Tooth Pain,Amoxicillin,Use once daily,Burning sensation,Take proper rest,Sleepiness
Headache,Cetirizine,Use twice daily,Head pain and stress,Avoid spicy food,Fatigue
Headache,Amlodipine,Use once daily,Vomiting and nausea,Take proper rest,Sleepiness
Cold,Cetirizine,Use twice daily,Vomiting and nausea,Drink warm water,Sleepiness
Headache,Amoxicillin,Drink water with medicine,High temperature,Drink warm water,Dizziness
Cold,Metformin,Use twice daily,High temperature,Drink warm water,Constipation
Eye Infection,Vitamin Tablets,Use once daily,Body pain and weakness,Avoid cold drinks,Nausea
Headache,Pantoprazole,Use once daily,Sneezing and cough,Take proper rest,Fatigue
Allergy,Omeprazole,Take before meal,Stomach infection,Drink warm water,Fatigue
Vomiting,Paracetamol,Use once daily,Sneezing and cough,Do not overdose,Fatigue
Fever,Cetirizine,Drink water with medicine,Head pain and stress,Drink warm water,Dizziness
Cough,Ibuprofen,Take after meal,Burning sensation,Avoid cold drinks,Dry mouth
Vomiting,Vitamin Tablets,Take after meal,Breathing problem,Do not overdose,Nausea
Diabetes,Amoxicillin,Take before sleep,Stomach infection,Drink warm water,Fatigue
Cough,Insulin,Take after meal,Burning sensation,Consult doctor if problem continues,Dry mouth
Eye Infection,Ibuprofen,Use once daily,Breathing problem,Take proper rest,Fatigue
Joint Pain,Omeprazole,Drink water with medicine,Breathing problem,Do not overdose,Nausea
Joint Pain,Pantoprazole,Take before meal,Burning sensation,Avoid cold drinks,Constipation
Headache,Amlodipine,Take after meal,Body pain and weakness,Do not overdose,Nausea
Migraine,Salbutamol Inhaler,Take before sleep,Stomach infection,Consult doctor if problem continues,Dry mouth
Migraine,Dolo 650,Take before meal,Burning sensation,Take proper rest,Constipation
Migraine,Crocin,Take after meal,Vomiting and nausea,Consult doctor if problem continues,Fatigue
Fever,Amlodipine,Drink water with medicine,Burning sensation,Avoid spicy food,Constipation
Ear Infection,Calcium Tablets,Take before meal,Burning sensation,Drink warm water,Dizziness
Weakness,Amoxicillin,Drink water with medicine,Vomiting and nausea,Take proper rest,Dizziness
Joint Pain,Antacid,Use once daily,Head pain and stress,Take proper rest,Nausea
Typhoid,Amoxicillin,Take before meal,Body pain and weakness,Avoid cold drinks,Fatigue
Cold,Antacid,Take before meal,Burning sensation,Consult doctor if problem continues,Dry mouth
Asthma,Insulin,Use twice daily,Head pain and stress,Take proper rest,Dry mouth
Diarrhea,Omeprazole,Take after meal,Burning sensation,Avoid cold drinks,Dry mouth
Cough,ORS,Take before sleep,Sneezing and cough,Avoid spicy food,Dizziness
Headache,Crocin,Take before sleep,Vomiting and nausea,Avoid spicy food,Dizziness
Asthma,Pain Relief Gel,Use twice daily,Sneezing and cough,Avoid spicy food,Nausea
Diabetes,Pantoprazole,Drink water with medicine,Burning sensation,Do not overdose,Sleepiness
Typhoid,Pain Relief Gel,Use once daily,Breathing problem,Avoid cold drinks,Dry mouth
Stomach Pain,Amlodipine,Use once daily,Body pain and weakness,Do not overdose,Dry mouth
Weakness,Pain Relief Gel,Drink water with medicine,Vomiting and nausea,Do not overdose,Constipation
Vomiting,Pain Relief Gel,Use once daily,Vomiting and nausea,Take proper rest,Fatigue
Headache,ORS,Take after meal,Sneezing and cough,Avoid spicy food,Dry mouth
Fever,Antibiotic Cream,Take after meal,Breathing problem,Avoid spicy food,Sleepiness
Cold,Cetirizine,Use twice daily,Breathing problem,Drink warm water,Nausea
Allergy,Calcium Tablets,Use twice daily,Stomach infection,Avoid spicy food,Constipation
Allergy,ORS,Take before meal,Vomiting and nausea,Do not overdose,Nausea
Headache,Azithromycin,Take before sleep,High temperature,Do not overdose,Dizziness
Typhoid,Pain Relief Gel,Take after meal,Vomiting and nausea,Avoid cold drinks,Constipation
Weakness,Antibiotic Cream,Use once daily,Burning sensation,Do not overdose,Fatigue
Stomach Pain,Insulin,Drink water with medicine,Burning sensation,Take proper rest,Sleepiness
Typhoid,Vitamin Tablets,Use twice daily,Body pain and weakness,Drink warm water,Constipation
BP,Dolo 650,Take before sleep,High temperature,Drink warm water,Constipation
Fever,Cetirizine,Drink water with medicine,Breathing problem,Consult doctor if problem continues,Constipation
Headache,Amlodipine,Take after meal,Stomach infection,Consult doctor if problem continues,Dizziness
Stomach Pain,Antibiotic Cream,Use twice daily,Vomiting and nausea,Avoid cold drinks,Fatigue
Allergy,Cough Syrup,Use once daily,Sneezing and cough,Take proper rest,Constipation
Diarrhea,Crocin,Use once daily,Burning sensation,Avoid spicy food,Fatigue
Vomiting,Metformin,Take before sleep,Head pain and stress,Avoid cold drinks,Constipation
Vomiting,Cough Syrup,Use twice daily,Breathing problem,Do not overdose,Constipation
Stomach Pain,Pantoprazole,Take before sleep,Body pain and weakness,Drink warm water,Dizziness
Diarrhea,Ibuprofen,Use twice daily,Body pain and weakness,Drink warm water,Fatigue
Typhoid,ORS,Use twice daily,Head pain and stress,Consult doctor if problem continues,Dizziness
Diabetes,Pain Relief Gel,Take after meal,Burning sensation,Drink warm water,Nausea
Typhoid,Pantoprazole,Drink water with medicine,Burning sensation,Drink warm water,Sleepiness
BP,Metformin,Use once daily,High temperature,Consult doctor if problem continues,Sleepiness
Skin Infection,Cough Syrup,Take before meal,Body pain and weakness,Consult doctor if problem continues,Dizziness
Stomach Pain,Antacid,Drink water with medicine,Vomiting and nausea,Drink warm water,Dizziness
Asthma,Dolo 650,Take before meal,Breathing problem,Avoid spicy food,Fatigue
Allergy,Omeprazole,Drink water with medicine,Head pain and stress,Drink warm water,Dry mouth
Typhoid,Salbutamol Inhaler,Drink water with medicine,Sneezing and cough,Drink warm water,Constipation
Asthma,Omeprazole,Drink water with medicine,Sneezing and cough,Consult doctor if problem continues,Nausea
Ear Infection,Calcium Tablets,Take after meal,Head pain and stress,Drink warm water,Nausea
Acidity,Cetirizine,Drink water with medicine,Body pain and weakness,Do not overdose,Sleepiness
Vomiting,Cough Syrup,Use twice daily,High temperature,Take proper rest,Dry mouth
Asthma,Pantoprazole,Take after meal,Body pain and weakness,Avoid spicy food,Constipation
Tooth Pain,Amoxicillin,Take after meal,Breathing problem,Consult doctor if problem continues,Dizziness
Ear Infection,Azithromycin,Use twice daily,Vomiting and nausea,Drink warm water,Constipation
Weakness,ORS,Use once daily,Vomiting and nausea,Do not overdose,Dizziness
Diabetes,Dolo 650,Use once daily,Body pain and weakness,Avoid spicy food,Dry mouth
Skin Infection,Antibiotic Cream,Use twice daily,Burning sensation,Take proper rest,Constipation
Vomiting,Calcium Tablets,Take after meal,Vomiting and nausea,Take proper rest,Fatigue
Typhoid,ORS,Take before meal,Burning sensation,Do not overdose,Constipation
Acidity,Crocin,Use twice daily,High temperature,Do not overdose,Nausea
Migraine,Cough Syrup,Use twice daily,Sneezing and cough,Avoid cold drinks,Dry mouth
BP,ORS,Take before sleep,High temperature,Do not overdose,Dizziness
Vomiting,Pain Relief Gel,Use once daily,Body pain and weakness,Take proper rest,Fatigue
Ear Infection,Calcium Tablets,Use once daily,Stomach infection,Avoid spicy food,Dizziness
Weakness,Omeprazole,Use once daily,High temperature,Avoid cold drinks,Fatigue
Acidity,ORS,Take before sleep,Stomach infection,Avoid cold drinks,Nausea
Diabetes,Dolo 650,Use twice daily,Body pain and weakness,Avoid spicy food,Constipation
Tooth Pain,Pantoprazole,Take before meal,Sneezing and cough,Avoid cold drinks,Fatigue
Migraine,Ibuprofen,Drink water with medicine,Breathing problem,Consult doctor if problem continues,Sleepiness
Asthma,Paracetamol,Take after meal,Sneezing and cough,Do not overdose,Dry mouth
Ear Infection,Paracetamol,Drink water with medicine,Vomiting and nausea,Do not overdose,Dry mouth
Diarrhea,ORS,Take after meal,Burning sensation,Avoid cold drinks,Dry mouth
Typhoid,Dolo 650,Take after meal,Head pain and stress,Avoid cold drinks,Dry mouth
Headache,Crocin,Use once daily,Vomiting and nausea,Avoid spicy food,Fatigue
Stomach Pain,Crocin,Take after meal,Stomach infection,Drink warm water,Nausea
Typhoid,Calcium Tablets,Take before meal,Body pain and weakness,Do not overdose,Fatigue
Eye Infection,Metformin,Take after meal,Vomiting and nausea,Avoid cold drinks,Nausea
Vomiting,Cetirizine,Use twice daily,Head pain and stress,Consult doctor if problem continues,Fatigue
Ear Infection,Dolo 650,Drink water with medicine,Vomiting and nausea,Take proper rest,Dry mouth
Cold,Crocin,Take before meal,High temperature,Do not overdose,Dry mouth
Cough,Amlodipine,Use twice daily,Sneezing and cough,Drink warm water,Dry mouth
Allergy,Dolo 650,Take before meal,Body pain and weakness,Avoid spicy food,Dizziness
Vomiting,Antacid,Use twice daily,Vomiting and nausea,Do not overdose,Sleepiness
Asthma,Antibiotic Cream,Take after meal,Burning sensation,Consult doctor if problem continues,Nausea
Asthma,Salbutamol Inhaler,Take after meal,Sneezing and cough,Consult doctor if problem continues,Sleepiness
Weakness,Amoxicillin,Take after meal,Body pain and weakness,Consult doctor if problem continues,Fatigue
Joint Pain,Omeprazole,Use once daily,Stomach infection,Avoid spicy food,Fatigue
Weakness,Amoxicillin,Take before sleep,Head pain and stress,Drink warm water,Nausea
Asthma,Amlodipine,Take after meal,Sneezing and cough,Avoid spicy food,Dry mouth
Cough,Vitamin Tablets,Use once daily,Head pain and stress,Consult doctor if problem continues,Dizziness
Skin Infection,ORS,Take after meal,Stomach infection,Avoid spicy food,Nausea
Asthma,Dolo 650,Use twice daily,Sneezing and cough,Take proper rest,Constipation
Joint Pain,Amlodipine,Take after meal,Breathing problem,Avoid cold drinks,Dry mouth
Ear Infection,Antibiotic Cream,Drink water with medicine,Breathing problem,Do not overdose,Nausea
Stomach Pain,Omeprazole,Use once daily,Sneezing and cough,Avoid spicy food,Constipation
Stomach Pain,Omeprazole,Use once daily,Vomiting and nausea,Avoid spicy food,Sleepiness
Ear Infection,Crocin,Drink water with medicine,Body pain and weakness,Do not overdose,Dry mouth
Ear Infection,Paracetamol,Use twice daily,High temperature,Avoid spicy food,Dry mouth
Acidity,Cetirizine,Take before meal,Breathing problem,Drink warm water,Constipation
Weakness,Calcium Tablets,Take before sleep,Sneezing and cough,Consult doctor if problem continues,Nausea
Diarrhea,Pantoprazole,Take after meal,Head pain and stress,Do not overdose,Fatigue
Ear Infection,Amlodipine,Take before meal,Breathing problem,Do not overdose,Constipation
Diabetes,Cough Syrup,Drink water with medicine,Breathing problem,Consult doctor if problem continues,Nausea
Allergy,Pantoprazole,Take before sleep,Head pain and stress,Avoid spicy food,Dry mouth
BP,ORS,Use twice daily,High temperature,Avoid cold drinks,Dizziness
Allergy,Metformin,Take before sleep,Head pain and stress,Do not overdose,Nausea
Fever,Dolo 650,Use twice daily,Breathing problem,Take proper rest,Sleepiness
Asthma,Metformin,Use once daily,Stomach infection,Consult doctor if problem continues,Dry mouth
Cough,Pain Relief Gel,Take before sleep,Breathing problem,Do not overdose,Dry mouth
BP,Antacid,Take after meal,Body pain and weakness,Avoid spicy food,Nausea
Fever,Metformin,Drink water with medicine,Head pain and stress,Do not overdose,Constipation
Asthma,Metformin,Take before meal,Vomiting and nausea,Take proper rest,Nausea
Typhoid,Cetirizine,Use twice daily,Sneezing and cough,Take proper rest,Constipation
Diabetes,Calcium Tablets,Take after meal,Sneezing and cough,Avoid spicy food,Dry mouth
Cough,Crocin,Take after meal,Burning sensation,Avoid spicy food,Fatigue
Asthma,Insulin,Take before meal,Vomiting and nausea,Avoid spicy food,Dry mouth
Eye Infection,Antacid,Use once daily,High temperature,Take proper rest,Dizziness
Weakness,Pantoprazole,Drink water with medicine,Vomiting and nausea,Avoid spicy food,Nausea
Migraine,Dolo 650,Take before meal,Stomach infection,Do not overdose,Dizziness
Headache,Salbutamol Inhaler,Drink water with medicine,Vomiting and nausea,Avoid cold drinks,Sleepiness
Cold,Pain Relief Gel,Take before meal,Burning sensation,Avoid spicy food,Nausea
Cough,Insulin,Drink water with medicine,Breathing problem,Do not overdose,Fatigue
BP,Paracetamol,Use twice daily,High temperature,Do not overdose,Dizziness
Fever,Metformin,Use once daily,Sneezing and cough,Do not overdose,Nausea
Asthma,Amlodipine,Take before sleep,Head pain and stress,Avoid cold drinks,Dizziness
Allergy,Calcium Tablets,Take before meal,Breathing problem,Avoid spicy food,Dry mouth
Cold,Crocin,Use twice daily,Burning sensation,Avoid cold drinks,Dry mouth
Stomach Pain,Ibuprofen,Use twice daily,Body pain and weakness,Do not overdose,Dry mouth
Asthma,Crocin,Take after meal,Body pain and weakness,Avoid spicy food,Dizziness
Acidity,Crocin,Take before meal,Breathing problem,Take proper rest,Fatigue
BP,Calcium Tablets,Use once daily,Sneezing and cough,Consult doctor if problem continues,Nausea
Allergy,Cetirizine,Use twice daily,Vomiting and nausea,Drink warm water,Dizziness
Acidity,Azithromycin,Use once daily,Stomach infection,Drink warm water,Nausea
Vomiting,Omeprazole,Take before meal,Breathing problem,Avoid cold drinks,Fatigue
Typhoid,Insulin,Drink water with medicine,High temperature,Avoid spicy food,Dizziness
Vomiting,Dolo 650,Take before meal,Sneezing and cough,Take proper rest,Dizziness
Eye Infection,Amlodipine,Take before meal,Sneezing and cough,Drink warm water,Dizziness
Weakness,Insulin,Take before meal,High temperature,Drink warm water,Nausea
Joint Pain,Dolo 650,Take before sleep,Body pain and weakness,Consult doctor if problem continues,Fatigue
Cough,Paracetamol,Take after meal,Vomiting and nausea,Drink warm water,Sleepiness
Cough,Ibuprofen,Drink water with medicine,Body pain and weakness,Drink warm water,Dizziness
Migraine,Dolo 650,Take after meal,Stomach infection,Avoid cold drinks,Sleepiness
Ear Infection,Amoxicillin,Use twice daily,Head pain and stress,Avoid spicy food,Sleepiness
Vomiting,Ibuprofen,Use twice daily,Head pain and stress,Avoid cold drinks,Dry mouth
Headache,Pain Relief Gel,Take after meal,High temperature,Consult doctor if problem continues,Sleepiness
Skin Infection,Crocin,Take before meal,High temperature,Avoid spicy food,Nausea
Typhoid,Omeprazole,Take before meal,Body pain and weakness,Consult doctor if problem continues,Nausea
Tooth Pain,Vitamin Tablets,Drink water with medicine,Head pain and stress,Avoid spicy food,Dry mouth
Tooth Pain,Pantoprazole,Take after meal,Body pain and weakness,Take proper rest,Sleepiness
Cold,Cough Syrup,Take before sleep,Head pain and stress,Avoid cold drinks,Dry mouth
Vomiting,Vitamin Tablets,Take before sleep,Stomach infection,Do not overdose,Dizziness
Vomiting,Antacid,Use once daily,Sneezing and cough,Take proper rest,Sleepiness
Typhoid,Cough Syrup,Take after meal,High temperature,Avoid cold drinks,Dry mouth
